 [2023-01-16 14:41:40,903] Pre-Condition - Step 01: Navigate to 'Register' Page
 [2023-01-16 14:41:41,986] Pre-Condition - Step 02: Enter to Firstname textbox with value is 'long'
 [2023-01-16 14:41:42,254] Pre-Condition - Step 03: Enter to Lastname textbox with value is 'qa'
 [2023-01-16 14:41:42,508] Pre-Condition - Step 04: Enter to Email textbox with value is 'long34234@qa.team'
 [2023-01-16 14:41:42,802] Pre-Condition - Step 05: Enter to Password textbox with value is '123456'
 [2023-01-16 14:41:43,430] Pre-Condition - Step 06: Enter to Confirm Password textbox with value is '123456'
 [2023-01-16 14:41:43,619] Pre-Condition - Step 07: Click to 'Register' button
 [2023-01-16 14:41:44,727] Pre-Condition - Step 08: Verify register success message is displayed
 [2023-01-16 14:41:44,818]  -------------------------- PASSED -------------------------- 
 [2023-01-16 14:41:44,819] Pre-Condition - Step 09: Click to Logout link
 [2023-01-16 15:13:00,207] Register - Step 01: Navigate to 'Register' Page
 [2023-01-16 15:13:02,452] Register - Step 02: Enter to Firstname textbox with value is 'long'
 [2023-01-16 15:13:02,672] Register - Step 03: Enter to Lastname textbox with value is 'qaba'
 [2023-01-16 15:13:02,881] Register - Step 04: Enter to Email textbox with value is 'automationFC86918@qa.team'
 [2023-01-16 15:13:03,121] Register - Step 05: Enter to Password textbox with value is '123456'
 [2023-01-16 15:13:03,309] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
 [2023-01-16 15:13:03,487] Register - Step 07: Click to 'Register' button
 [2023-01-16 15:13:04,495] Register - Step 08: Verify register success message is displayed
 [2023-01-16 15:13:04,589]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:13:04,812] Login - Step 01: Navigate to 'Login' Page
 [2023-01-16 15:13:05,401] Login - Step 02: Enter to Email textbox with value is 'automationFC86918@qa.team'
 [2023-01-16 15:13:05,607] Login - Step 03: Enter to Password textbox with value is '123456'
 [2023-01-16 15:13:05,779] Login - Step 04: Click to 'Login' button
 [2023-01-16 15:13:06,841] Login - Step 05: Verify 'My Account' link is displayed
 [2023-01-16 15:13:06,932]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:13:06,932] Login - Step 06: Navigate to 'My Account' Page
 [2023-01-16 15:13:07,522] Login - Step 07: Verify 'Customer Info' title is displayed
 [2023-01-16 15:13:07,591]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:14:53,411] Register - Step 01: Navigate to 'Register' Page
 [2023-01-16 15:14:56,103] Register - Step 02: Enter to Firstname textbox with value is 'long'
 [2023-01-16 15:14:56,314] Register - Step 03: Enter to Lastname textbox with value is 'qaba'
 [2023-01-16 15:14:56,544] Register - Step 04: Enter to Email textbox with value is 'automationFC232@qa.team'
 [2023-01-16 15:14:56,787] Register - Step 05: Enter to Password textbox with value is '123456'
 [2023-01-16 15:14:56,981] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
 [2023-01-16 15:14:57,184] Register - Step 07: Click to 'Register' button
 [2023-01-16 15:14:58,351] Register - Step 08: Verify register success message is displayed
 [2023-01-16 15:14:58,433]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:14:58,653] Login - Step 01: Navigate to 'Login' Page
 [2023-01-16 15:14:59,291] Login - Step 02: Enter to Email textbox with value is 'automationFC232@qa.team'
 [2023-01-16 15:14:59,495] Login - Step 03: Enter to Password textbox with value is '123456'
 [2023-01-16 15:14:59,715] Login - Step 04: Click to 'Login' button
 [2023-01-16 15:15:00,856] Login - Step 05: Verify 'My Account' link is displayed
 [2023-01-16 15:15:00,950]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:15:00,950] Login - Step 06: Navigate to 'My Account' Page
 [2023-01-16 15:15:01,592] Login - Step 07: Verify 'Customer Info' title is displayed
 [2023-01-16 15:15:01,667]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:29:47,864] Register - Step 01: Navigate to 'Register' Page
 [2023-01-16 15:29:49,750] Register - Step 02: Enter to Firstname textbox with value is 'long'
 [2023-01-16 15:29:49,980] Register - Step 03: Enter to Lastname textbox with value is 'qaba'
 [2023-01-16 15:29:50,302] Register - Step 04: Enter to Email textbox with value is 'automationFC80133@qa.team'
 [2023-01-16 15:29:50,572] Register - Step 05: Enter to Password textbox with value is '123456'
 [2023-01-16 15:29:50,882] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
 [2023-01-16 15:29:51,074] Register - Step 07: Click to 'Register' button
 [2023-01-16 15:29:52,875] Register - Step 08: Verify register success message is displayed
 [2023-01-16 15:29:53,025]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:29:53,339] Login - Step 01: Navigate to 'Login' Page
 [2023-01-16 15:34:09,698] Register - Step 01: Navigate to 'Register' Page
